Tahun;Bulan;Negara;Komoditas;Volume;Tabel Harga
2017;January;DENMARK;Adas Manis;480.0;4.96
2017;February;DENMARK;Adas Manis;480.0;4.96
2017;March;DENMARK;Adas Manis;480.0;4.96
2017;April;DENMARK;Adas Manis;480.0;4.96
2017;May;DENMARK;Adas Manis;480.0;4.42
2017;June;DENMARK;Adas Manis;480.0;4.96
2017;July;DENMARK;Adas Manis;480.0;4.96
2017;August;DENMARK;Adas Manis;480.0;4.96
2017;September;DENMARK;Adas Manis;480.0;4.96
2017;October;DENMARK;Adas Manis;1200.0;4.44
2017;November;DENMARK;Adas Manis;480.0;4.96
2017;December;DENMARK;Adas Manis;480.0;4.96
2017;January;SINGAPORE;Adas Manis;5.0;1.54
2017;February;SINGAPORE;Adas Manis;5.0;1.54
2017;March;SINGAPORE;Adas Manis;5.0;1.54
2017;April;SINGAPORE;Adas Manis;5.0;1.54
2017;May;SINGAPORE;Adas Manis;5.0;1.51
2017;June;SINGAPORE;Adas Manis;5.0;1.54
2017;July;SINGAPORE;Adas Manis;5.0;1.54
2017;August;SINGAPORE;Adas Manis;5.0;1.54
2017;September;SINGAPORE;Adas Manis;5.0;1.54
2017;October;SINGAPORE;Adas Manis;5.0;1.54
2017;November;SINGAPORE;Adas Manis;5.0;1.55
2017;December;SINGAPORE;Adas Manis;5.0;1.54
2017;January;UNITED STATES;Adas Manis;1340.0;4.8
2017;February;UNITED STATES;Adas Manis;460.0;4.76
2017;March;UNITED STATES;Adas Manis;1340.0;4.8
2017;April;UNITED STATES;Adas Manis;1340.0;4.8
2017;May;UNITED STATES;Adas Manis;1340.0;4.8
2017;June;UNITED STATES;Adas Manis;910.0;5.0
2017;July;UNITED STATES;Adas Manis;680.0;4.84
2017;August;UNITED STATES;Adas Manis;1340.0;4.8
2017;September;UNITED STATES;Adas Manis;1340.0;4.8
2017;October;UNITED STATES;Adas Manis;1340.0;4.8
2017;November;UNITED STATES;Adas Manis;1340.0;4.8
2017;December;UNITED STATES;Adas Manis;1340.0;4.8
2018;January;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2018;February;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2018;March;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2018;April;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2018;May;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2018;June;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2018;July;BELGIUM;Adas Manis;1000.0;5.18
2018;August;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2018;September;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2018;October;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2018;November;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2018;December;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2018;January;CHINA;Adas Manis;0.6;3.33
2018;February;CHINA;Adas Manis;0.6;3.33
2018;March;CHINA;Adas Manis;0.6;3.33
2018;April;CHINA;Adas Manis;0.6;3.33
2018;May;CHINA;Adas Manis;0.6;3.33
2018;June;CHINA;Adas Manis;0.6;3.33
2018;July;CHINA;Adas Manis;0.6;3.33
2018;August;CHINA;Adas Manis;0.6;3.33
2018;September;CHINA;Adas Manis;0.6;3.33
2018;October;CHINA;Adas Manis;0.5;3.94
2018;November;CHINA;Adas Manis;0.6;3.33
2018;December;CHINA;Adas Manis;0.6;3.33
2018;January;NETHERLANDS;Adas Manis;0.8;4.0
2018;February;NETHERLANDS;Adas Manis;0.8;4.0
2018;March;NETHERLANDS;Adas Manis;0.8;4.0
2018;April;NETHERLANDS;Adas Manis;0.8;4.0
2018;May;NETHERLANDS;Adas Manis;5.0;4.0
2018;June;NETHERLANDS;Adas Manis;0.8;4.0
2018;July;NETHERLANDS;Adas Manis;0.8;4.0
2018;August;NETHERLANDS;Adas Manis;0.8;4.0
2018;September;NETHERLANDS;Adas Manis;0.8;4.0
2018;October;NETHERLANDS;Adas Manis;0.8;4.0
2018;November;NETHERLANDS;Adas Manis;0.8;4.0
2018;December;NETHERLANDS;Adas Manis;0.8;4.0
2018;January;SINGAPORE;Adas Manis;5.0;1.54
2018;February;SINGAPORE;Adas Manis;5.0;1.54
2018;March;SINGAPORE;Adas Manis;10.0;1.52
2018;April;SINGAPORE;Adas Manis;5.0;1.54
2018;May;SINGAPORE;Adas Manis;5.0;1.54
2018;June;SINGAPORE;Adas Manis;5.0;1.54
2018;July;SINGAPORE;Adas Manis;5.0;1.54
2018;August;SINGAPORE;Adas Manis;5.0;1.54
2018;September;SINGAPORE;Adas Manis;5.0;1.53
2018;October;SINGAPORE;Adas Manis;5.0;1.54
2018;November;SINGAPORE;Adas Manis;10.0;1.49
2018;December;SINGAPORE;Adas Manis;4550.0;0.49
2018;January;SOUTH AFRICA;Adas Manis;500.0;5.41
